id,category_id,name,composition,rating,unit,cooking,priceUnit,price,proteins,fats,carbohydrates,nutritionKcal,nutritionKj,storageConditions,shelfLife,vegan,review_count
1932,219,"Тушка бройлера, охл. (средний вес - 1,800 кг) *",тушка цыпленка-бройлера 1 сорт потрошенная; * - продажа данной продукции в одни руки до 8кг,5,кг,False,1 кг,219.0,16.0,14.0,0.0,190.0,795.5,при температуре от 0 до +2С - 48 часов,7,0,2
1745,191,"Молоко отборное цельное пастеризованное 3,4-6% 1,5 л",молоко цельное отборное питьевое пастеризованное,5,шт,True,1 шт,209.0,2.9,3.4,4.7,61.0,256.0,при t от +2°C до +6°С,5,0,2
1701,187,"Молоко отборное цельное пастеризованное 3,4-6%, 1 л",молоко цельное отборное питьевое пастеризованное,5,шт,True,1 шт,145.0,2.9,3.4,4.7,61.0,250.0,при t от +2°C до +6°С,5,0,2
896,45,Пряник заварной расписной №5,,4,шт,False,1 шт,199.0,0.0,0.0,0.0,0.0,0.0,,60,0,2
351,34,"Сырники из творога, зам, 420 гр","Творог 2,5%, крупа манная, яйца куриные, сахар, сливочное масло, мука пшеничная, масло подсолнечное, соль поваренная пищевая, ванилин",5,шт,False,1 шт,279.0,15.0,4.8,18.0,180.0,753.6,при t не выше минус 18 °С-не более 30 суток,30,0,2
2173,15,"Борщ, 250 гр","куриный бульон (вода питьевая, кость куриная пищевая), капуста свежая, картофель свежий, курица вареная, свекла свежая, морковь свежая, лук свежий, заправка для борща (томатная паста (томатная паста, вода питьевая, загуститель (Е1414), соль поваренная пищевая, сахар, консервант (сорбкат калия, бензоат натрия)), свекла вареная, сахар, уксус столовый 9 %, масло подсолнечное, соль поваренная пищевая, перец черный молотый, чеснок, укроп зелень свежая, петрушка зелень сушеная), соль поваренная пищевая.",5,шт,True,1 шт,124.0,0.7,2.0,4.6,39.2,164.1,при t от +2 до 6 °С- не более 72 часов с момента изготовления,3,0,2
22568,44,"Пирожное моти с клубникой 0,1кг","Сыр творожный Креметте (нормализованное пастеризованное молоко, бактериальная закваска молокосвертывающий фермент микробного происхождения, загуститель, соль, стабилизаторы камедь рожкового дерева и гуаровая камедь, лимонная кислота, вода питьевая), мука рисовая клейкая, сахарная пудра, клубника свежая,  краситель - сок вишни натуральный.",5,шт,False,1 шт,205.0,4.2,17.4,34.2,309.8,1297.0,при t от +2⁰С до +6⁰С; После вскрытия хранить  при t от +2°C до +6°С не более 12 часов,5,0,2
3044,88,"Купаты куриные, 500 г","филе бедра цыпленка-бройлера, филе грудок цыпленка-бройлера, мясо механической обвалки, шкура куриная, лук репчатый, вода питьевая, пшеничная клетчатка, соль поваренная пищевая, специи: чеснок, перец черный, перец белый, лук, петрушка, укроп, усилитель вкуса и аромата глутамат натрия, декстроза, регулятор кислотности цитрат натрия, антиокислитель пиросульфит натрия, изоаскорбат натрия.",4,шт,False,1 шт,281.0,15.0,12.4,1.4,178.4,746.4,при t от 0 до +4°С,5,0,1
2058,36,"Сервелат ""Ореховый"", п/к, 200 г","говядина в/с, мясо птицы, шпик хребтовый,орех кедровый, смесь специй:перец черный, перец душистый, мускатный орех, пищевые добавки:нитритная соль ( соль поваренная пищевая, Е250)",5,шт,False,1 шт,174.0,15.5,28.8,1.4,326.8,1368.2,при t от 0 до 6 °С-не более 72 часов,30,0,1
911,35,"Колбаса «Шахтерская» п/к, 450 г","Свинина полужирная, свинина жирная, мясо птицы, мясо птицы механической обвалки, чеснок граннулированный, смесь специй: перец черный молотый, перец душистый молотый, перец белый молотый, пищевые добавки: нитритная соль(поваренная соль, нитрит натрия (фиксатор окраски))",5,шт,False,1 шт,263.0,14.1,23.0,0.4,265.0,1097.1,при t от 0 до 6 °С- не более 72 часа,30,0,1
1431,35,"Колбаса «Пепперони» с/к, 245 г","Шпик свиной, свинина нежирная, говядина первого сорта, стартовые культуры, специи: паприка, кориандр, перец красный молотый, чеснок. Пищевые добавки: соль нитритная( поваренная соль, нитрит натрия (фиксатор окраски)).",5,шт,False,1 шт,393.0,13.0,64.0,0.0,630.0,2629.3,при t от 0 до 6 °С- не более 10 суток,180,0,1
3043,88,"Купаты «Барбекю», 500 г","филе бедра цыпленка-бройлера, свинина полужирная, филе грудок цыпленка-бройлера, мясо механической обвалки, говядина, вода питьевая, соль поваренная пищевая, пшеничная клетчатка, специи: перец черный молотый, тмин, виноградный сахар, экстракт черного перца, ароматизатор коптильный натуральный, усилитель вкуса и аромата глутамат натрия, декстроза, регулятор кислотности цитрат натрия, антиокислитель пиросульфит натрия, изоаскорбат натрия.",5,шт,False,1 шт,315.0,17.4,14.5,1.2,209.0,874.4,при t от 0 до +4°С,5,0,1
1893,88,"Ребра свиные «Деликатесные», 1.3 кг","ребрышки свиные, маринад (вода питьевая, масло растительное), соль поваренная пищевая, смесь специй: перец красный, петрушка, паприка сладкая; пищевые добавки: стабилизаторы Е450,Е451, усилитель вкуса и аромата Е621, антиокислитель Е315, Е316.",5,кг,False,1 кг,611.0,12.0,33.1,0.0,345.9,1448.2,при температуре от 0 до +4 С - не более 24 часов,5,0,1
2313,88,"Шашлык из свинины «Фирменный», 1.3 кг","свинина, вода питьевая, масло растительное, соль пищевая, смесь специй: перец черный молотый, чеснок, петрушка, зелень, укроп, лук сушеный.",5,кг,True,1 кг,696.0,12.0,30.0,1.0,322.0,1350.0,при t от +2 до +6°С,7,0,1
1189,61,Творог 5% 250 гр,,5,шт,False,1 шт,175.0,0.0,0.0,0.0,0.0,0.0,,5,0,1
